[CODECSTATS]
CodecsTotal=370
CodecsVer=0.7.0

[#EVENT/#THIS/IDCODECS]
---	---	---	D V D 	4xm	unregistered	Y	4X Movie
---	---	---	D V D 	8bps	unregistered	Y	QuickTime 8BPS video
svx	---	---	D A D 	8svx_exp	unregistered	Y	8SVX exponential
svx	---	---	D A D 	8svx_fib	unregistered	Y	8SVX fibonacci
---	---	---	D A   	8svx_raw	unregistered	Y	8SVX rawaudio
---	---	---	 EV   	a64multi	unregistered	Y	Multicolor charset for Commodore 64
---	---	---	 EV   	a64multi5	unregistered	Y	Multicolor charset for Commodore 64, extended with 5th color (colram)
aac	---	---	DEA D 	aac	aac (libav)	Y	Advanced Audio Coding
---	---	---	D A D 	aac_latm	unregistered	Y	AAC LATM (Advanced Audio Codec LATM syntax)
aac	---	---	D V D 	aasc	unregistered	Y	Autodesk RLE
ac3	---	---	DEA D 	ac3	AC3 - Float	Y	ATSC A/52 / AC-3
ac3	---	---	 EA   	ac3_fixed	AC3 - Fixed	Y	ATSC A/52A (AC-3)
wav	---	---	D A D 	adpcm_4xm	unregistered	Y	ADPCM 4X Movie
wav	---	---	DEA D 	adpcm_adx	unregistered	Y	SEGA CRI ADX ADPCM
wav	---	---	D A D 	adpcm_ct	unregistered	Y	ADPCM Creative Technology
wav	---	---	D A D 	adpcm_ea	unregistered	Y	ADPCM Electronic Arts
wav	---	---	D A D 	adpcm_ea_maxis_xa	unregistered	Y	ADPCM Electronic Arts Maxis CDROM XA
wav	---	---	D A D 	adpcm_ea_r1	unregistered	Y	ADPCM Electronic Arts R1
wav	---	---	D A D 	adpcm_ea_r2	unregistered	Y	ADPCM Electronic Arts R2
wav	---	---	D A D 	adpcm_ea_r3	unregistered	Y	ADPCM Electronic Arts R3
wav	---	---	D A D 	adpcm_ea_xas	unregistered	Y	ADPCM Electronic Arts XAS
wav	---	---	D A D 	adpcm_ima_amv	unregistered	Y	ADPCM IMA AMV
---	---	---	D A D 	adpcm_ima_apc	unregistered	Y	ADPCM IMA CRYO APC
wav	---	---	D A D 	adpcm_ima_dk3	unregistered	Y	ADPCM IMA Duck DK3
wav	---	---	D A D 	adpcm_ima_dk4	unregistered	Y	ADPCM IMA Duck DK4
wav	---	---	D A D 	adpcm_ima_ea_eacs	unregistered	Y	ADPCM IMA Electronic Arts EACS
wav	---	---	D A D 	adpcm_ima_ea_sead	unregistered	Y	ADPCM IMA Electronic Arts SEAD
---	---	---	D A D 	adpcm_ima_iss	unregistered	Y	ADPCM IMA Funcom ISS
wav	---	---	DEA D 	adpcm_ima_qt	unregistered	Y	ADPCM IMA QuickTime
wav	---	---	D A D 	adpcm_ima_smjpeg	unregistered	Y	ADPCM IMA Loki SDL MJPEG
wav	---	---	DEA D 	adpcm_ima_wav	unregistered	Y	ADPCM IMA WAV
wav	---	---	D A D 	adpcm_ima_ws	unregistered	Y	ADPCM IMA Westwood
wav	---	---	DEA D 	adpcm_ms	unregistered	Y	ADPCM Microsoft
wav	---	---	D A D 	adpcm_sbpro_2	unregistered	Y	ADPCM Sound Blaster Pro 2-bit
wav	---	---	D A D 	adpcm_sbpro_3	unregistered	Y	ADPCM Sound Blaster Pro 2.6-bit
wav	---	---	D A D 	adpcm_sbpro_4	unregistered	Y	ADPCM Sound Blaster Pro 4-bit
swf	---	---	DEA D 	adpcm_swf	unregistered	Y	ADPCM Shockwave Flash
wav	---	---	D A D 	adpcm_thp	unregistered	Y	ADPCM Nintendo Gamecube THP
wav	---	---	D A D 	adpcm_xa	unregistered	Y	ADPCM CDROM XA
wav	---	---	DEA D 	adpcm_yamaha	unregistered	Y	ADPCM Yamaha
alac	---	---	DEA D 	alac	unregistered	Y	ALAC (Apple Lossless Audio Codec)
---	---	---	D A D 	als	unregistered	Y	MPEG-4 Audio Lossless Coding (ALS)
amr	---	---	DEA   	amr_nb	unregistered	Y	Older FFmpeg versions
amr	---	---	DEA   	amr_wb	unregistered	Y	Older FFmpeg versions
amr	---	---	D A D 	amrnb	unregistered	Y	Adaptive Multi-Rate NarrowBand
amr	---	---	D A D 	amrwb	unregistered	Y	Adaptive Multi-Rate WideBand
---	---	---	DEV   	amv	unregistered	Y	AMV Video
anm	---	---	D V D 	anm	unregistered	Y	Deluxe Paint Animation
---	---	---	D V D 	ansi	unregistered	Y	ASCII/ANSI art
ape	---	---	D A D 	ape	unregistered	Y	Monkey's Audio
ass	---	---	DES   	ass	unregistered	Y	Advanced SubStation Alpha subtitle
avi	---	---	DEV D 	asv1	unregistered	Y	ASUS V1
avi	---	---	DEV D 	asv2	unregistered	Y	ASUS V2
---	---	---	D A D 	atrac1	unregistered	Y	Atrac 1 (Adaptive TRansform Acoustic Coding)
---	---	---	D A D 	atrac3	unregistered	Y	Atrac 3 (Adaptive TRansform Acoustic Coding 3)
---	---	---	D V D 	aura	unregistered	Y	Auravision AURA
---	---	---	D V D 	aura2	unregistered	Y	Auravision Aura 2
aac	---	---	 EA   	auto_assign	AAC	Y	Avanti - AAC codec suggestion
---	---	---	D V   	avrn	unregistered	Y	Avid AVI Codec
---	---	---	DEV D 	avrp	unregistered	Y	Avid 1:1 10-bit RGB Packer
avs	---	---	D V D 	avs	unregistered	Y	AVS (Audio Video Standard) video
---	---	---	DEV D 	avui	unregistered	Y	Avid Meridien Uncompressed
---	---	---	DEV D 	ayuv	unregistered	Y	Uncompressed packed MS 4:4:4:4
---	---	---	D V D 	bethsoftvid	unregistered	Y	Bethesda VID video
---	---	---	D V D 	bfi	unregistered	Y	Brute Force & Ignorance
---	---	---	D A D 	binkaudio_dct	unregistered	Y	Bink Audio (DCT)
---	---	---	D A D 	binkaudio_rdft	unregistered	Y	Bink Audio (RDFT)
---	---	---	D V   	binkvideo	unregistered	Y	Bink video
---	---	---	D V D 	bintext	unregistered	Y	Binary text
bmp	---	---	DEV D 	bmp	unregistered	Y	BMP image
---	---	---	D A D 	bmv_audio	unregistered	Y	Discworld II BMV audio
---	---	---	D V   	bmv_video	unregistered	Y	Discworld II BMV video
---	---	---	D V D 	c93	unregistered	Y	Interplay C93
---	---	---	D V D 	camstudio	unregistered	Y	CamStudio
---	---	---	D V D 	camtasia	unregistered	Y	TechSmith Screen Capture Codec
---	---	---	D V D 	cavs	unregistered	Y	Chinese AVS video (AVS1-P2, JiZhun profile)
---	---	---	D V D 	cdgraphics	unregistered	Y	CD Graphics video
---	---	---	D V D 	cdxl	unregistered	Y	Commodore CDXL video
---	---	---	D V D 	cinepak	unregistered	Y	Cinepak
---	---	---	DEV D 	cljr	unregistered	Y	Cirrus Logic AccuPak
---	---	---	D V D 	cllc	unregistered	Y	Canopus Lossless Codec
---	---	---	D A D 	cook	unregistered	Y	COOK
ad	---	---	D A   	copy	Mux audio	N	Avanti System (do not remove)
vd	---	---	D V   	copy	Mux video	N	Avanti System (do not remove)
ad	---	---	D A   	copy	copy audio	N	Avanti System (do not remove)
ad	ade	---	D A   	copy	Demux audio	N	Avanti System (do not remove)
vd	---	---	D A   	copy	copy video	N	Avanti System (do not remove)
vd	vde	---	D V   	copy	Demux video	N	Avanti System (do not remove)
---	---	---	D V   	cpia	unregistered	Y	CPiA video format
---	---	---	D V D 	cyuv	unregistered	Y	Creative YUV (CYUV)
dts	---	---	DEA D 	dca	unregistered	Y	DCA (DTS Coherent Acoustics)
dfa	---	---	D V D 	dfa	unregistered	Y	Chronomaster DFA
---	---	---	D V   	dirac	unregistered	Y	BBC Dirac VC-2
mov	---	---	DEV D 	dnxhd	DNxHD	N	VC3/DNxHD
---	---	---	DEV   	dpx	unregistered	Y	DPX image
---	---	---	D A D 	dsicinaudio	unregistered	Y	Delphine Software International CIN audio
---	---	---	D V D 	dsicinvideo	unregistered	Y	Delphine Software International CIN video
dts	---	---	D A   	dts	unregistered	Y	Older FFmpeg versions
---	---	---	DES   	dvbsub	unregistered	Y	DVB subtitles
---	---	---	DES   	dvdsub	unregistered	Y	DVD subtitles
avi	---	---	DEV D 	dvvideo	DV (SD)	N	DV (Digital Video)
---	---	---	D V D 	dxa	unregistered	Y	Feeble Files/ScummVM DXA
---	---	---	D V D 	dxtory	unregistered	Y	Dxtory
ac3	---	---	DEA D 	eac3	unregistered	Y	ATSC A/52B (AC-3, E-AC-3)
---	---	---	D V D 	eacmv	unregistered	Y	Electronic Arts CMV Video
---	---	---	D V D 	eamad	unregistered	Y	Electronic Arts Madcow Video
---	---	---	D V D 	eatgq	unregistered	Y	Electronic Arts TGQ Video
---	---	---	D V   	eatgv	unregistered	Y	Electronic Arts TGV Video
---	---	---	D V D 	eatqi	unregistered	Y	Electronic Arts TQI Video
---	---	---	D V D 	escape124	unregistered	Y	Escape 124
---	---	---	D V D 	escape130	unregistered	Y	Escape 130
---	---	---	D V   	exr	unregistered	Y	OpenEXR image
---	---	---	DEV D 	ffv1	unregistered	Y	FFmpeg video codec #1
avi	---	---	DEVSD 	ffvhuff	unregistered	Y	Huffyuv FFmpeg variant
flac	---	---	DEA D 	flac	FLAC	Y	FLAC (Free Lossless Audio Codec)
---	---	---	DEV D 	flashsv	unregistered	Y	Flash Screen Video
---	---	---	DEV D 	flashsv2	unregistered	Y	Flash Screen Video Version 2
flc	---	---	D V D 	flic	unregistered	Y	Autodesk Animator Flic video
flv	---	---	DEVSD 	flv	FLASH	N	Flash Video (FLV)
---	---	---	D V D 	fraps	unregistered	Y	Fraps
---	---	---	D V D 	FRWU	unregistered	Y	Forward Uncompressed
---	---	---	DEA D 	g722	unregistered	Y	G.722 ADPCM
---	---	---	DEA   	g723_1	unregistered	Y	G.723.1
wav	---	---	DEA D 	g726	G.726	Y	G.726 ADPCM
---	---	---	D A D 	g729	unregistered	Y	G.729
gif	---	---	DEV D 	gif	unregistered	Y	GIF (Graphics Interchange Format)
---	---	---	D A D 	gsm	GSM (libav)	Y	GSM
---	---	---	D A D 	gsm_ms	unregistered	Y	GSM Microsoft variant
---	---	---	DEV D 	h261	unregistered	Y	H.261
3gp	---	---	DEVSDT	h263	3GP	N	H.263 / H.263-1996
---	---	---	D VSD 	h263i	unregistered	Y	Intel H.263
---	---	---	DEV   	h263p	unregistered	Y	H.263+ / H.263-1998 / H.263 version 2
h264	h264	mp4	D V D 	h264	h264 (libav)	Y	H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10
avi	---	---	DEVSD 	huffyuv	HUFFYUV	Y	Huffyuv / HuffYUV
---	---	---	D A D 	iac	unregistered	Y	IAC (Indeo Audio Coder)
---	---	---	D V D 	idcinvideo	unregistered	Y	id Quake II CIN video
---	---	---	D V D 	idf	unregistered	Y	iCEDraw text
---	---	---	D V D 	iff_byterun1	unregistered	Y	IFF ByteRun1
---	---	---	D V D 	iff_ilbm	unregistered	Y	IFF ILBM
---	---	---	D A D 	imc	unregistered	Y	IMC (Intel Music Coder)
ivf	---	---	D V D 	indeo2	unregistered	Y	Intel Indeo 2
ivf	---	---	D V   	indeo3	unregistered	Y	Intel Indeo 3
---	---	---	D V   	indeo4	unregistered	Y	Intel Indeo Video Interactive 4
---	---	---	D V   	indeo5	unregistered	Y	Intel Indeo Video Interactive 5
---	---	---	D A D 	interplay_dpcm	unregistered	Y	DPCM Interplay
---	---	---	D V D 	interplayvideo	unregistered	Y	Interplay MVE Video
