[FORMATSTATS]
FormatsTotal=239
FormatsVer=0.7.0

[#EVENT/#THIS/IDFORMATS]
3g2	---	---	 EB	3g2	----	1	3gp2 format
3gp	---	---	 EB	3gp	----	1	3gp format
4xm	---	---	D B	4xm	----	3	4X Technologies format
---	---	---	 EB	a64	----	3	a64 - video for Commodore 64
aac	---	---	D A	aac	aac (libav)	1	raw ADTS AAC
ac3	---	---	DEA	ac3	----	1	raw ac3
---	---	---	D  	act	----	3	ACT Voice file format
---	---	---	D  	adf	----	3	Artworx Data Format
dts	---	---	 EA	adts	----	1	ADTS AAC
---	---	---	DE 	adx	----	3	CRI ADX
aea	---	---	D A	aea	----	3	MD STUDIO audio
aif	---	---	DEA	aiff	----	1	Audio IFF
wav	---	---	DEA	alaw	----	1	pcm A law format
amr	---	---	DEA	amr	----	3	3GPP AMR file format
anm	---	---	D V	anm	----	3	Deluxe Paint Animation
apc	---	---	D A	apc	----	3	CRYO APC format
ape	---	---	D A	ape	----	3	Monkey's Audio
---	---	---	D B	applehttp	----	3	Apple HTTP Live Streaming format
dvr-ms	---	---	DEB	asf	----	2	asf format
asf	---	---	DEB	asf	----	2	asf format
asf	---	---	 EB	asf_stream	----	2	asf format
ssa	---	---	DEB	ass	----	3	SSA/ASS format
au	---	---	DEA	au	----	2	SUN AU Format
avi	---	---	DEB	avi	----	1	AVI format
flv	---	---	 EB	avm2	----	3	Flash 9 (AVM2) format
avs	---	---	D B	avs	----	1	Avanti System (do not remove) AVISynth
---	---	---	D B	avs_force	----	1	Avanti System (do not remove) AVISynth
vid	---	---	D B	bethsoftvid	----	3	Bethesda Softworks VID format
---	---	---	D V	bfi	----	3	Brute Force & Ignorance
---	---	---	D  	bin	----	3	Binary text
---	---	---	D B	bink	----	3	Bink
---	---	---	DE 	bit	----	3	G.729 BIT file format
---	---	---	D  	bmv	----	3	Discworld II BMV
c93	---	---	D B	c93	----	3	Interplay C93
caf	---	---	DEA	caf	----	3	Apple Core Audio Format
---	---	---	DEV	cavsvideo	----	3	raw Chinese AVS video
cdg	---	---	D V	cdg	----	3	CD Graphics Format
---	---	---	D  	cdxl	----	3	Commodore CDXL video format
crc	---	---	 EA	crc	----	3	CRC testing format
302	---	---	DEA	daud	----	3	D-Cinema audio format
dfa	---	---	D  	dfa	----	3	Chronomaster DFA
dirac	---	---	DEV	dirac	----	3	raw Dirac
mov	---	---	DEB	dnxhd	----	3	raw DNxHD (SMPTE VC-3)
---	---	---	D  	dshow	----	3	DirectShow capture
cin	---	---	D B	dsicin	----	3	Delphine Software International CIN format
dts	---	---	DEA	dts	----	1	raw DTS
dv	---	---	DEB	dv	----	1	DV video format
vob	---	---	 EB	dvd	----	1	MPEG2 PS format (DVD VOB)
dxa	---	---	D B	dxa	----	3	DXA
ea	---	---	D B	ea	----	3	Electronic Arts Multimedia Format
cdata	---	---	D B	ea_cdata	----	3	Electronic Arts cdata
ac3	---	---	DEA	eac3	----	3	raw E-AC-3
wav	---	---	DEA	f32be	----	3	PCM 32 bit floating-point big-endian format
wav	---	---	DEA	f32le	----	3	PCM 32 bit floating-point little-endian format
